Trial_ID,SppVar,Seedlots,Seed_Class,StockType,Num_Planted,Planting_Comments,Assessor_Qual,Qual_Date,Qualitative_Vigour,Vigour_Variability,Best_Height_Offsite,Survival_est,Damage_Comments,SiteIndex,SiteIndex_Method,Local_Spp1,Best_Height_Local1,Local_Spp2,Best_Height_Local2,Local_Spp3,Best_Height_Local3
EP1392-WHRS,LW,ID_WA_north,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-MACS,FDI,2011.212,LC,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-CHUR,PW,60785,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-FSJN,YC,Kootenay,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-REVS,YC,Kootenay,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-CHUR,YC,Maritime,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-HIGH,BG,Kootenay,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-MACS,FDI,63058,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-PGTI,FDI,60784,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-STRO,YC,Maritime,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-MACS,BG,Kootenay,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-MCLE,FDC,63022,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-PGTI,FDI,63057,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-RISK,PW,61256,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-FLET,PY,ID_Plains,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-FLET,PY,BC_south_Int,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-LOON,FDI,2009.206,LC,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-MCLE,FDI,63057,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-CHUR,LW,60779,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-CHUR,LW,ID_WA_north,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-MACS,LW,OR_central,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-FSJN,PW,61256,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-LIKE,PY,ID_Plains,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-CHUR,YC,Kootenay,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-PGTI,BG,Kootenay,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-PGTI,FDI,63016,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-MACS,LW,60779,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-WHRS,PW,60785,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-RISK,FDI,2009.216,LC,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-PGTI,FDI,2011.229,LC,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-MACN,BA,BC_South_Int,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-MCLR,FDC,LongviewWA,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-CHUR,FDI,63057,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-SPIL,LW,ID_WA_north,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-PGTI,FDI,63058,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-PGTI,FDI,63077,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-PGTI,LW,ID_WA_north,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-HIGH,PY,ID_Plains,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-FSJN,BA,BC_South_Int,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-MCLE,BG,Kootenay,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-GLEN,FDI,63058,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-MACN,FDI,63058,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-STRO,FDI,63016,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-GAVN,FDI,63077,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-CHUR,FDI,60784,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-HIGH,LW,OR_central,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-FSJN,PW,60785,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-LIKE,PW,60785,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-MCLE,PW,60785,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-MACS,PY,ID_Plains,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-GLEN,YC,Maritime,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-GOLD,YC,Kootenay,B,1-0 412A,,,,,,,,,,,,,,,,,
