Trial_ID,SppVar,Latitude,Longitude,Elevation,DD5,CMD,Tmin_sp,bFFP
1237578,PY,52.37674407,-122.9715489,-9999,861,250,-4.4,171
93L003.0.0.5,PY,54.01806,-127.40361,940,866,228,-3.7,170
EP1392-RISK,PY,52.01028,-122.72722,1420,788,235,-4.5,169
EP1392-STRO,PY,52.02803,-122.73964,1360,816,244,-4.4,169
1292611,PY,52.43580875,-123.1794814,-9999,878,275,-4.4,169
EP0904.02PALM,PY,52.00828988,-122.8446429,1250,939,290,-4,169
93L004.0.0.047,PY,54.02694,-127.205,990,845,218,-3.8,169
1725678,YC,52.7531804,-124.2118814,-9999,664,241,-6.3,180
EP1392-RISK,YC,52.01028,-122.72722,1420,788,235,-4.5,169
EP1392-STRO,YC,52.02803,-122.73964,1360,816,244,-4.4,169
EP1392-MACS,YC,55.25278,-123.09342,705,1088,204,-3.1,159
16154,YC,52.25666596,-126.3008681,-9999,915,173,-2.3,159
EP1392-MACN,YC,55.46556,-123.28436,688,1067,225,-3.1,158
46902,YC,54.57048699,-127.9860145,-9999,876,180,-2.6,158
EP1324.02.01.17,YC,55.37769978,-128.0796276,-9999,856,112,-2.5,157
16153,YC,52.25978172,-126.3145185,-9999,1003,185,-1.7,154
