Avenza_label,Trial_Type,SppComposition_Label,SppVar,PlantingYear,Num_Planted,Latitude,Longitude,Elevation,Slope,Aspect,BGC,SS_NoSpace,SMR_SNR,Assessor_Qual,Qual_Date,Qualitative_Vigour,Vigour_Variability,Best_Height_Offsite,DamageandSeverity,Survival_est,Local_Spp1,Best_Height_Local1,Local_Spp2,Best_Height_Local2,Local_Spp3,Best_Height_Local3,QuanitativeCollected,Comments_Trial
FDI_2013_1049164,Operational,S-Pli93Sx7-13-3.6-26/I-1200(19),FDI,2013,750,53.85363922,-125.3052087,,,,SBSdk,SBSdk/05,,,,,,,,,,,,,,,,""
LW_2013_1049164,Operational,S-Pli93Sx7-13-3.6-26/I-1200(19),LW,2013,300,53.85363922,-125.3052087,,,,SBSdk,SBSdk/05,,,,,,,,,,,,,,,,""
PW_2016_1656780,Operational,S-Fdi72Lw16Pw12-1-0.1-22/E-1200(16),PW,2016,225,52.46503537,-120.9156674,,,,ICHwk2,ICHwk2/04,,,,,,,,,,,,,,,,""
LW_2016_1656780,Operational,S-Fdi72Lw16Pw12-1-0.1-22/E-1200(16),LW,2016,615,52.46503537,-120.9156674,,,,ICHwk2,ICHwk2/04,,,,,,,,,,,,,,,,""
LW_2016_1437262,Operational,S-Pli83Sx11Lw6-1-0.2-18/E-1200(16),LW,2016,3000,53.82028094,-124.931384,,,,SBSdk,SBSmc2/01,,,,,,,,,,,,,,,,""
LW_2017_1651307,Operational,S-Pli55Sx45-2-0.3-20/E-1200(17),LW,2017,7560,52.19996831,-121.649096,,,,SBPSmk,SBPSmk/06,,,,,,,,,,,,,,,,""
FDI_2013_1223792,Operational,S-Sx71Pli29-13-1.7-21/I-1160(18),FDI,2013,165,54.44480131,-126.0628537,,,,SBSdk,SBSdk/01,,,,,,,,,,,,,,,,""
FDI_2013_1492351,Operational,S-Pli58Sx42-7-1.3-19/E-1100(18),FDI,2013,945,54.3698359,-126.1109582,,,,SBSdk,SBSdk/01,,,,,,,,,,,,,,,,""
LW_2013_1492351,Operational,S-Pli58Sx42-7-1.3-19/E-1100(18),LW,2013,630,54.3698359,-126.1109582,,,,SBSdk,SBSdk/01,,,,,,,,,,,,,,,,""
FDI_2013_82046,Operational,S-Pli85Sx15-17-6.4-26/I-1180(19),FDI,2013,8820,54.10580914,-125.5470068,,,,SBSdk,SBSdk/01,,,,,,,,,,,,,,,,""
FDI_2013_69719,Operational,S-Pli89Sx11-3-0.4-17/E-1200(15),FDI,2013,11340,53.80459076,-125.406699,,,,SBSdk,SBSdk/03,,,,,,,,,,,,,,,,""
LW_2013_69719,Operational,S-Pli89Sx11-3-0.4-17/E-1200(15),LW,2013,3465,53.80459076,-125.406699,,,,SBSdk,SBSdk/03,,,,,,,,,,,,,,,,""
FDI_2013_1073706,Operational,S-Pli92Sx8-10-2.4-19/E-1167(15),FDI,2013,3150,53.8329153,-125.3352892,,,,SBSdk,SBSdk/05,,,,,,,,,,,,,,,,""
FDI_2013_73167,Operational,S-Pli76Sx22Fdi2-7-1.2-20/E-1200(18),FDI,2013,2705,53.82675791,-125.3106805,,,,SBSdk,SBSdk/01,,,,,,,,,,,,,,,,""
LW_2013_73167,Operational,S-Pli76Sx22Fdi2-7-1.2-20/E-1200(18),LW,2013,515,53.82675791,-125.3106805,,,,SBSdk,SBSdk/01,,,,,,,,,,,,,,,,""
FDI_2013_116270,Operational,S-Pli99Sx1-7-1.3-16/E-1200(18),FDI,2013,9140,53.87181287,-125.3508331,,,,SBSdk,SBSdk/03,,,,,,,,,,,,,,,,""
LW_2013_116270,Operational,S-Pli99Sx1-7-1.3-16/E-1200(18),LW,2013,3150,53.87181287,-125.3508331,,,,SBSdk,SBSdk/03,,,,,,,,,,,,,,,,""
FDI_2013_1492493,Operational,S-Pli78Sx22-5-0.7-17/E-1100(17),FDI,2013,4725,53.94801343,-125.8595933,,,,SBSmc2,SBSdk/03,,,,,,,,,,,,,,,,""
LW_2013_1492493,Operational,S-Pli78Sx22-5-0.7-17/E-1100(17),LW,2013,630,53.94801343,-125.8595933,,,,SBSmc2,SBSdk/03,,,,,,,,,,,,,,,,""
FDI_2013_1365151,Operational,S-Pli72Sx26Bl2-6-1.0-18/E-1145(18),FDI,2013,26460,53.94176805,-125.4572245,,,,SBSdk,SBSmc2/01,,,,,,,,,,,,,,,,""
LW_2013_1365151,Operational,S-Pli72Sx26Bl2-6-1.0-18/E-1145(18),LW,2013,3150,53.94176805,-125.4572245,,,,SBSdk,SBSmc2/01,,,,,,,,,,,,,,,,""
LW_2013_1519870,Operational,S-Sx58Pli38Bl4-2-0.3-19/E-1176(14),LW,2013,657,54.32216049,-125.5453592,,,,SBSmc2,SBSmc2/06,,,,,,,,,,,,,,,,""
FDI_2013_59266,Operational,S-Pli87Sx13-11-2.1-18/E-1200(15),FDI,2013,8700,53.8316542,-125.3324037,,,,SBSdk,SBSdk/08,,,,,,,,,,,,,,,,""
LW_2013_59266,Operational,S-Pli87Sx13-11-2.1-18/E-1200(15),LW,2013,1260,53.8316542,-125.3324037,,,,SBSdk,SBSdk/08,,,,,,,,,,,,,,,,""
FDI_2013_98141,Operational,S-Sx60Pli40-7-1.0-17/E-891(14),FDI,2013,6555,53.80457003,-125.3110308,,,,SBSdk,SBSdk/07,,,,,,,,,,,,,,,,""
LW_2013_98141,Operational,S-Sx60Pli40-7-1.0-17/E-891(14),LW,2013,1280,53.80457003,-125.3110308,,,,SBSdk,SBSdk/07,,,,,,,,,,,,,,,,""
FDI_2013_1223795,Operational,S-Sx59Pli41-13-1.6-21/I-1160(18),FDI,2013,315,54.44320058,-126.0780501,,,,SBSdk,SBSdk/01,,,,,,,,,,,,,,,,""
FDI_2013_1492352,Operational,S-Sx47Pli35Fdi18-3-0.4-18/E-1060(15),FDI,2013,5355,54.36522679,-126.1309178,,,,SBSdk,SBSdk/01,,,,,,,,,,,,,,,,""
LW_2013_1492352,Operational,S-Sx47Pli35Fdi18-3-0.4-18/E-1060(15),LW,2013,4410,54.36522679,-126.1309178,,,,SBSdk,SBSdk/01,,,,,,,,,,,,,,,,""
FDI_2013_62279,Operational,S-Pli97Sx3-7-1.1-14/E-990(18),FDI,2013,9645,53.85776057,-125.302188,,,,SBSdk,SBSmc2/02,,,,,,,,,,,,,,,,""
LW_2013_62279,Operational,S-Pli97Sx3-7-1.1-14/E-990(18),LW,2013,4425,53.85776057,-125.302188,,,,SBSdk,SBSmc2/02,,,,,,,,,,,,,,,,""
FDI_2013_1222794,Operational,S-Sx55Pli45-13-1.5-21/E-1180(19),FDI,2013,945,54.44870587,-126.1489706,,,,SBSdk,SBSdk/01,,,,,,,,,,,,,,,,""
FDI_2013_118596,Operational,S-Pli85Sx15-3-0.4-16/E-1200(15),FDI,2013,390,53.82834438,-125.3082694,,,,SBSdk,SBSdk/03,,,,,,,,,,,,,,,,""
FDI_2013_1069576,Operational,S-Pli80Sx19Bl1-8-1.6-18/E-1175(18),FDI,2013,30695,53.80201919,-125.4118075,,,,SBSdk,SBSmc2/01,,,,,,,,,,,,,,,,""
FDI_2013_1319810,Operational,S-Pli67Sx22Fdi11-7-0.5-20/E-1167(15),FDI,2013,1470,54.40092056,-125.922315,,,,SBSdk,SBSdk/01,,,,,,,,,,,,,,,,""
LW_2013_1319810,Operational,S-Pli67Sx22Fdi11-7-0.5-20/E-1167(15),LW,2013,4725,54.40092056,-125.922315,,,,SBSdk,SBSdk/01,,,,,,,,,,,,,,,,""
FDI_2013_71495,Operational,S-Pli64Sx36-6-0.9-20/E-1171(18),FDI,2013,4020,53.82501441,-125.3108173,,,,SBSdk,SBSdk/01,,,,,,,,,,,,,,,,""
LW_2013_71495,Operational,S-Pli64Sx36-6-0.9-20/E-1171(18),LW,2013,945,53.82501441,-125.3108173,,,,SBSdk,SBSdk/01,,,,,,,,,,,,,,,,""
FDI_2013_69214,Operational,S-Pli100-7-1.4-16/E-1200(18),FDI,2013,2835,53.84166502,-125.3147435,,,,SBSdk,SBSdk/03,,,,,,,,,,,,,,,,""
FDI_2013_61010,Operational,S-Pli95Fdi3Sx2-5-0.8-19/E-1200(18),FDI,2013,492,53.83227848,-125.3184746,,,,SBSdk,SBSdk/01,,,,,,,,,,,,,,,,""
LW_2013_61010,Operational,S-Pli95Fdi3Sx2-5-0.8-19/E-1200(18),LW,2013,140,53.83227848,-125.3184746,,,,SBSdk,SBSdk/01,,,,,,,,,,,,,,,,""
FDI_2013_1492390,Operational,S-Sx61Pli23Fdi16-2-0.2-18/E-1187(14),FDI,2013,7080,54.36117252,-126.1110702,,,,SBSdk,SBSdk/01,,,,,,,,,,,,,,,,""
LW_2013_1492390,Operational,S-Sx61Pli23Fdi16-2-0.2-18/E-1187(14),LW,2013,5355,54.36117252,-126.1110702,,,,SBSdk,SBSdk/01,,,,,,,,,,,,,,,,""
