Avenza_label,Trial_Type,SppComposition_Label,SppVar,PlantingYear,Num_Planted,Latitude,Longitude,Elevation,Slope,Aspect,BGC,SS_NoSpace,SMR_SNR,Assessor_Qual,Qual_Date,Qualitative_Vigour,Vigour_Variability,Best_Height_Offsite,DamageandSeverity,Survival_est,Local_Spp1,Best_Height_Local1,Local_Spp2,Best_Height_Local2,Local_Spp3,Best_Height_Local3,QuanitativeCollected,Comments_Trial
FDI_1992_103I099-3,Operational,"",FDI,1992,,54.9422,-128.36409,417,8,235,ICHmc2,ICHmc2/02,,,,,,,,,,,,,,,,""
FDI_1991_93K003-51,Operational,"",FDI,1991,,54.02893,-125.42481,804,5,999,SBSdw3,SBSdw3/01,,,,,,,,,,,,,,,,""
FDI_1992_93M011-88,Operational,"",FDI,1992,,55.18853,-127.8791,750,5,999,ICHmc2,ICHmc2/03,,,,,,,,,,,,,,,,""
FDI_1992_93M033-7,Operational,"",FDI,1992,,55.34732,-127.56361,715,30,295,ICHmc2,ICHmc2/03,,,,,,,,,,,,,,,,""
FDI_1992_93M042-29,Operational,"",FDI,1992,,55.40914,-127.70159,306,0,999,ICHmc2,ICHmc2/53,,,,,,,,,,,,,,,,""
CW_1992_-744680000,Operational,S-Sx96Bl4-12-3.8-15/O-1133(05),CW,1992,1440,53.15680517,-120.3836334,,,,SBSvk,ESSFmm1/01,,,,,,,,,,,,,,,,""
FDI_1991_-588210000,Operational,S-Pli52Sx48-26-8.3-20/S-927(15),FDI,1991,0,54.04568965,-125.4828544,,,,SBSdk,SBSdk/01,,,,,,,,,,,,,,,,""
FDI_1993_-456530000,Operational,S-Pli93Sx7-8-1.6-19/E-1165(00),FDI,1993,0,52.64668034,-123.4591584,,,,SBPSdc,SBPSmk/01,,,,,,,,,,,,,,,,""
FDI_1993_-479290000,Operational,S-Pli81Sx19-11-2.4-20/E-960(05),FDI,1993,3000,52.86808021,-123.0416626,,,,SBPSdc,SBPSmk/05,,,,,,,,,,,,,,,,""
BA_1993_-226030000,Operational,S-Sx59Bl41-14-2.6-18/E-1088(00),BA,1993,20000,56.35999929,-129.2966775,,,,ICHvc,ICHvc/05,,,,,,,,,,,,,,,,""
FDI_1992_-213890000,Operational,S-Pli86Sx11Fdi3-14-4.0-21/E-985(05),FDI,1992,0,54.62247763,-124.507003,,,,SBSdk,SBSdk/01,,,,,,,,,,,,,,,,""
LS_1996_-381980000,Operational,S-Pli84Sx16-9-2.5-18/O-933(05),LS,1996,7200,55.78719681,-121.5447502,,,,BWBSmw,BWBSmw1/05,,,,,,,,,,,,,,,,""
BA_1995_7,Operational,S-Pli71Sx27Bl2-12-3.0-14/E-1200(10),BA,1995,3885,55.55952039,-126.6803027,,,,SBSmc2,ESSFwv/01,,,,,,,,,,,,,,,,""
