Avenza_label,Trial_Type,SppComposition_Label,SppVar,PlantingYear,Num_Planted,Latitude,Longitude,Elevation,Slope,Aspect,BGC,SS_NoSpace,SMR_SNR,Assessor_Qual,Qual_Date,Qualitative_Vigour,Vigour_Variability,Best_Height_Offsite,DamageandSeverity,Survival_est,Local_Spp1,Best_Height_Local1,Local_Spp2,Best_Height_Local2,Local_Spp3,Best_Height_Local3,QuanitativeCollected,Comments_Trial
CW_2003_109689,Operational,S-Sx36Pli32Fdi27Bl5-9-1.9-23/E-1120(11),CW,2003,270,52.69790666,-119.2341279,,,,SBSdh1,ICHmm/01,,,,,,,,,,,,,,,,""
FDI_2004_116270,Operational,S-Pli99Sx1-7-1.3-16/E-1200(18),FDI,2004,9140,53.87181287,-125.3508331,,,,SBSdk,SBSdk/03,,,,,,,,,,,,,,,,""
LW_2004_116270,Operational,S-Pli99Sx1-7-1.3-16/E-1200(18),LW,2004,3150,53.87181287,-125.3508331,,,,SBSdk,SBSdk/03,,,,,,,,,,,,,,,,""
FDI_2004_72266,Operational,S-Pli60Sx24Fdi16-11-2.8-20/I-1120(15),FDI,2004,6600,53.60399572,-123.6670952,,,,SBSmc2,SBSdw3/08,,,,,,,,,,,,,,,,""
FDI_2004_1052305,Operational,S-Bl39Sx37Pli24-10-2.0-12/E-950(13),FDI,2004,14900,53.1041657,-119.666849,,,,ESSFmm1,ESSFmm1/03,,,,,,,,,,,,,,,,""
FDI_2005_102090,Operational,S-Pli87Sx9Fdi4-10-2.9-20/E-1174(14),FDI,2005,6670,52.87676031,-122.7981257,,,,SBSmc2,SBPSmk/01,,,,,,,,,,,,,,,,""
FDI_2005_118563,Operational,S-Pli47Sx38Fdi15-13-2.2-19/I-1022(15),FDI,2005,3270,53.82289049,-125.2547652,,,,SBSdk,SBSdk/01,,,,,,,,,,,,,,,,""
CW_2005_118872,Operational,S-Cw34Bl30Hw27Sxs9-1-0.2-18/E-1160(05),CW,2005,1350,55.57402116,-128.7947817,,,,ICHmc1,ICHmc1/04,,,,,,,,,,,,,,,,""
FDI_2005_118710,Operational,S-Pli81Sx19-11-2.8-20/I-1120(15),FDI,2005,820,53.89074489,-126.0109467,,,,SBSmc2,SBSdk/01,,,,,,,,,,,,,,,,""
CW_2006_1051726,Operational,S-Fdi76Pli19Sx5-10-2.7-22/E-1080(15),CW,2006,2500,52.97451104,-119.389895,,,,SBSdh1,SBSdh1/01,,,,,,,,,,,,,,,,""
CW_2006_1050475,Operational,S-Fdi97Pli3-5-0.4-21/E-1000(08),CW,2006,5700,52.94906683,-119.3778739,,,,SBSdh1,SBSdh1/01,,,,,,,,,,,,,,,,""
LW_2006_1050475,Operational,S-Fdi97Pli3-5-0.4-21/E-1000(08),LW,2006,,52.94906683,-119.3778739,,,,SBSdh1,SBSdh1/01,,,,,,,,,,,,,,,,""
LW_2006_73387,Operational,S-Sx55Pli45-9-1.4-20/E-920(13),LW,2006,1403,53.65228311,-125.2219677,,,,SBSdk,SBSdk/07,,,,,,,,,,,,,,,,""
FDI_2006_1063653,Operational,S-Pli91Sx9-12-2.8-21/E-1112(17),FDI,2006,9315,54.70572606,-124.7809309,,,,SBSdk,SBSdw3/01,,,,,,,,,,,,,,,,""
CW_2006_96860,Operational,S-Sx84Cw16-1-0.3-12/E-1200(08),CW,2006,2730,52.36550702,-119.1313409,,,,ESSFwc2,ESSFwc2/01,,,,,,,,,,,,,,,,""
CW_2006_105860,Operational,S-Sx76Bl24-12-3.2-15/E-943(17),CW,2006,890,52.3116979,-118.9469998,,,,ESSFwc2,ESSFwc2/01,,,,,,,,,,,,,,,,""
CW_2005_1051154,Operational,S-Fdi67Sx20Pli13-12-3.4-22/E-1100(16),CW,2005,1575,52.92006654,-119.3442788,,,,SBSdh1,SBSdh1/01,,,,,,,,,,,,,,,,""
CW_2004_1051846,Operational,S-Fdi84Sx12Pli4-10-2.4-15/E-920(13),CW,2004,360,53.04419495,-119.5670523,,,,SBSdh1,ICHmm/02,,,,,,,,,,,,,,,,""
CW_2004_1051900,Operational,S-Pli50Fdi30Sx9Lw7Bl4-11-2.6-15/E-1200(14),CW,2004,8800,53.03370134,-119.5415385,,,,SBSdh1,ICHmm,,,,,,,,,,,,,,,,""
LW_2004_1051900,Operational,S-Pli50Fdi30Sx9Lw7Bl4-11-2.6-15/E-1200(14),LW,2004,2400,53.03370134,-119.5415385,,,,SBSdh1,ICHmm,,,,,,,,,,,,,,,,""
CW_2004_1051993,Operational,S-Fdi54Sx23Pli20Bl3-9-2.2-22/E-1167(12),CW,2004,4200,53.04979063,-119.5793328,,,,SBSdh1,SBSdh1,,,,,,,,,,,,,,,,""
LW_2004_1051993,Operational,S-Fdi54Sx23Pli20Bl3-9-2.2-22/E-1167(12),LW,2004,300,53.04979063,-119.5793328,,,,SBSdh1,SBSdh1,,,,,,,,,,,,,,,,""
CW_2005_1051871,Operational,S-Fdi45Sx33Pli11Lw7Cw4-11-2.6-23/E-1160(14),CW,2005,2890,53.0405261,-119.5612078,,,,SBSdh1,ICHmm/01,,,,,,,,,,,,,,,,""
LW_2005_1051871,Operational,S-Fdi45Sx33Pli11Lw7Cw4-11-2.6-23/E-1160(14),LW,2005,1300,53.0405261,-119.5612078,,,,SBSdh1,ICHmm/01,,,,,,,,,,,,,,,,""
