ID1,ID2,lat,long,el
EP1392-HIGH,PY,59.1419,-117.5677,334
EP1392-HIGH,BA,59.1419,-117.5677,334
EP1392-HIGH,CW,59.1419,-117.5677,334
EP1392-HIGH,FDC,59.1419,-117.5677,334
EP1392-HIGH,FDC,59.1419,-117.5677,334
EP1392-HIGH,FDC,59.1419,-117.5677,334
EP1392-HIGH,FDC,59.1419,-117.5677,334
EP1392-HIGH,FDI,59.1419,-117.5677,334
EP1392-HIGH,FDI,59.1419,-117.5677,334
EP1392-HIGH,FDI,59.1419,-117.5677,334
EP1392-HIGH,FDI,59.1419,-117.5677,334
EP1392-HIGH,YC,59.1419,-117.5677,334
EP1392-KITI,CW,53.805,-128.68972,130
EP1392-KITI,BG,53.805,-128.68972,130
EP1392-KITI,LW,53.805,-128.68972,130
EP1392-KITI,YC,53.805,-128.68972,130
EP1392-KITI,CW,53.805,-128.68972,130
EP1392-KITI,YC,53.805,-128.68972,130
EP1392-KITI,FDI,53.805,-128.68972,130
EP1392-KITI,PW,53.805,-128.68972,130
EP1392-KITI,FDI,53.805,-128.68972,130
EP1392-KITI,FDC,53.805,-128.68972,130
EP1392-KITI,LW,53.805,-128.68972,130
EP1392-KITI,BA,53.805,-128.68972,130
EP1392-KITI,FDC,53.805,-128.68972,130
EP1392-KITI,FDC,53.805,-128.68972,130
EP1392-KITI,PW,53.805,-128.68972,130
EP1392-KITI,FDC,53.805,-128.68972,130
EP1392-KITI,FDC,53.805,-128.68972,130
EP1392-KITI,PY,53.805,-128.68972,130
EP1392-KITI,PY,53.805,-128.68972,130
EP1392-KITS,FDC,54.60483,-128.72725,228
EP1392-KITS,FDI,54.60483,-128.72725,228
EP1392-KITS,BG,54.60483,-128.72725,228
EP1392-KITS,LW,54.60483,-128.72725,228
EP1392-KITS,LW,54.60483,-128.72725,228
EP1392-KITS,FDC,54.60483,-128.72725,228
EP1392-KITS,FDI,54.60483,-128.72725,228
EP1392-KITS,YC,54.60483,-128.72725,228
EP1392-KITS,CW,54.60483,-128.72725,228
EP1392-KITS,YC,54.60483,-128.72725,228
EP1392-KITS,CW,54.60483,-128.72725,228
EP1392-KITS,FDC,54.60483,-128.72725,228
EP1392-KITS,FDI,54.60483,-128.72725,228
EP1392-KITS,CW,54.60483,-128.72725,228
EP1392-KITS,FDC,54.60483,-128.72725,228
EP1392-KITS,LW,54.60483,-128.72725,228
EP1392-LIKE,PY,52.57417,-121.84361,952
EP1392-LIKE,PW,52.57417,-121.84361,952
EP1392-LIKE,FDI,52.57417,-121.84361,952
EP1392-LIKE,PW,52.57417,-121.84361,952
EP1392-LIKE,PY,52.57417,-121.84361,952
EP1392-LIKE,BG,52.57417,-121.84361,952
EP1392-LIKE,CW,52.57417,-121.84361,952
