Trial_ID,Trial_Name,SppComposition_Label,PlantingYear,Project_Name,EP,Trial_Type,Latitude,Longitude,Elevation,Slope,Aspect,BGCv12,BGC,SS_NoSpace,SMR,SNR,SiteSoilFactor1,SiteSoilFactor2,SiteSoilFactor3,SitePrep,PlantingDate,PlantingSeason,Comments_Site,SppVar,Seedlots,Seed_Class,StockType,Num_Planted,Planting_Comments,Assessor_Qual,Qual_Date,Qualitative_Vigour,Vigour_Variability,Best_Height_Offsite,Survival_est,Damage_Comments,SiteIndex,SiteIndex_Method,Local_Spp1,Best_Height_Local1,Local_Spp2,Best_Height_Local2,Local_Spp3,Best_Height_Local3
Fdi-18,"","",1963,Skeena_Offsite,"",Operational,54.19529,-125.43512,933,3,200,"",SBSdk,SBSdk/03,"",,,,,,,October,also known as EP973.03. site series 01 tending to 03 all trees.,FDI,93614/B2,"",BR 2+0,,,,,,,,,,,,,,,,,
Fdi-19,"","",1964,Skeena_Offsite,"",Operational,54.18021,-125.43345,898,15,150,"",SBSdK,SBSdK/01,"",,,,,,,May,some spots are site series 01 rather than 03,FDI,93K/B2/377/ 3+0,"",2+0 BBR,,,,,,,,,,,,,,,,,
Fdi-2,"","",1957,Skeena_Offsite,"",Operational,54.77175,-126.82462,1060,48,220,"",SBSmc2,SBSmc2/05,"",,,,,,,October,03  tending to 01,FDI,D29,"",2+1 BR,,,,,,,,,,,,,,,,,
Fdi-21,"","",1964,Skeena_Offsite,"",Operational,54.17926,-125.43301,884,,,"",SBSdk,SBSdk/01,"",,,,,,,October,Dispersed tree plot.  Probably two different planting dates with 8580 planted much earlier and then 8492 used in fill plant.,FDI,93G14/B2/716/2.0,"",2+1 BBR,,,,,,,,,,,,,,,,,
Fdi-22,"","",1964,Skeena_Offsite,"",Operational,54.17964,-125.43548,882,50,200,"",SBSdk,SBSdk/04,"",,,,,,,October,"",FDI,93K3/B2/377/2.0,"",2+1 BBR,,,,,,,,,,,,,,,,,
Fdi-24,"","",1966,Skeena_Offsite,"",Operational,54.5156,-126.51275,852,8,80,"",SBSdk,SBSdk/01,"",,,,,,,May,"",FDI,93K/B3/781/3.0,"",2+0 BR and 2+1 BBR,,,,,,,,,,,,,,,,,
Fdi-25,"","",1966,Skeena_Offsite,"",Operational,54.28074,-125.21255,890,50,200,"",SBSdk,SBSdk/04,"",,,,,,,June,"",FDI,93K/B3/781/3.0,"",2+1 BBR,,,,,,,,,,,,,,,,,
Fdi-27,"","",1980,Skeena_Offsite,"",Operational,53.83325,-126.92941,988,25,140,"",SBSmc2,SBSmc2/06,"",,,,,,,"","",FDI,114/867/2615/2906,"",2+0 BR,,,,,,,,,,,,,,,,,
Fdi28,"","",1980,Skeena_Offsite,"",Operational,53.83032,-126.84023,961,20,999,"",SBSmc2,SBSmc2/01,"",,,,,,,"","",FDI,"114, 867, 2615, 2906","",2+0 BR,,,,,,,,,,,,,,,,,
Fdi-29,"","",1980,Skeena_Offsite,"",Operational,53.87794,-126.84869,1005,5,220,"",SBSmc2,"","",,,,,,,"","",FDI,"114, 867, 2615, 2906","",2+0 BR,,,,,,,,,,,,,,,,,
